fixed acidity;volatile acidity;residual sugar;pH
12.8;0.3;2.6;3.2
7.8;0.57;1.8;3.29
7.8;0.44;2.7;3.22
11;0.3;2.1;3.31
9.7;0.53;2;3.3
8;0.725;2.8;3.35
11.6;0.44;2.1;3.21
8.2;0.57;2.2;3.3
7.8;0.735;2.4;3.24
7;0.49;5.6;3.34
8.7;0.625;2;3.14
8.1;0.725;2.2;3.36
7.5;0.49;1.9;3.39
7.8;0.53;2.4;3.3
7.8;0.34;2;3.34
7.4;0.53;2;3.15
6.8;0.61;1.5;3.42
8.6;0.645;2;3.28
8.4;0.635;2;3.31
7.7;0.43;2.6;3.37
8.9;0.59;2;3.04
9;0.82;2.6;3.39
7.7;0.43;2.6;3.37
6.9;0.52;2.6;3.46
5.2;0.48;1.6;3.54
8;0.38;1.8;3.37
8.5;0.37;2.8;3.34
6.9;0.52;2.6;3.46
8.2;1;2.3;3.32
7.2;0.63;1.9;3.37
7.2;0.63;1.9;3.37
7.2;0.645;1.9;3.37
7.2;0.63;1.9;3.37
8.2;1;2.3;3.32
8.9;0.635;1.7;3
12;0.38;2.1;3.14
7.7;0.58;1.8;3.08
15;0.21;2.2;3.07
15;0.21;2.2;3.07
7.3;0.66;2;3.61
7.1;0.68;1.9;3.38
8.2;0.6;2.3;3.2
7.7;0.53;1.7;3.35
7.3;0.66;2;3.61
10.8;0.32;1.6;3.22
7.1;0.6;1.8;3.47
11.1;0.35;3.1;3.17
7.7;0.775;1.9;3.23
7.1;0.6;1.8;3.47
8;0.57;3.2;3.26
9.4;0.34;2.2;3.22
6.6;0.695;2.1;3.49
7.7;0.41;1.8;3.06
10;0.31;2.6;3.36
7.9;0.33;1.7;3.29
7;0.975;2;3.35
8;0.52;1.7;3.34
7.9;0.37;1.8;3.28
12.5;0.56;2.4;3.08
11.8;0.26;1.8;3.2
8.1;0.87;3.3;3.6
7.9;0.35;3.6;3.35
6.9;0.54;3;3.69
11.5;0.18;4;3.28
7.9;0.545;4;3.36
11.5;0.18;4;3.28
10.9;0.37;4;3.22
8.4;0.715;2.4;3.31
7.5;0.65;7;3.38
7.9;0.545;4;3.36
6.9;0.54;3;3.69
11.5;0.18;4;3.28
10.3;0.32;6.4;3.23
8.9;0.4;5.6;3.38
11.4;0.26;3.6;3.12
7.7;0.27;3.5;3.25
7.6;0.52;3;3.36
8.9;0.4;5.6;3.38
9.9;0.59;3.4;3.31
9.9;0.59;3.4;3.31
12;0.45;2;3.1
7.5;0.4;3;3.37
8.7;0.52;2.5;3.34
11.6;0.42;3.3;3.2
8.7;0.52;2.5;3.34
11;0.2;2;3.3
10.4;0.55;2.7;3.22
6.9;0.36;2.4;3.41
13.3;0.34;3.2;3.05
10.8;0.5;2.5;3.05
10.6;0.83;2.6;3.16
7.1;0.63;2;3.67
7.2;0.65;2.3;3.67
6.9;0.67;2.1;3.68
7.5;0.53;2.6;3.38
11.1;0.18;1.5;3.22
8.3;0.705;2.6;3.51
7.4;0.67;1.6;3.39
8.4;0.65;2.1;3.2
10.3;0.53;2.5;3.12
7.6;0.62;2.2;3.36
10.3;0.41;2.4;3.19
10.3;0.43;2.4;3.19
7.4;0.29;1.7;3.41
10.3;0.53;2.5;3.12
7.9;0.53;2;3.27
9;0.46;2.8;3.32
8.6;0.47;3;3.3
7.4;0.36;2.6;3.39
7.1;0.35;2.5;3.42
9.6;0.56;3.4;3.3
9.6;0.77;2.9;3.3
9.8;0.66;3.2;3.37
9.6;0.77;2.9;3.3
9.8;0.66;3.2;3.37
9.3;0.61;3.4;3.24
7.8;0.62;2.3;3.29
10.3;0.59;2.8;3.28
10;0.49;11;3.16
10;0.49;11;3.16
11.6;0.53;3.65;3.05
10.3;0.44;4.5;3.28
13.4;0.27;2.6;3.16
10.7;0.46;2;3.18
10.2;0.36;2.9;3.23
10.2;0.36;2.9;3.23
8;0.58;3.2;3.22
8.4;0.56;2.1;3.13
7.9;0.65;2.5;3.34
11.9;0.695;3.4;3.17
8.9;0.43;1.9;3.35
7.8;0.43;2.8;3.31
12.4;0.49;3;3.16
12.5;0.28;2.3;3.11
12.2;0.34;2.4;3.12
10.6;0.42;2.7;3.21
10.9;0.39;1.8;3.3
10.9;0.39;1.8;3.3
11.9;0.57;2.6;3.12
7;0.685;1.9;3.6
6.6;0.815;2.7;3.58
13.8;0.49;3;3.02
9.6;0.56;2.8;3.11
9.1;0.785;2.6;3.36
10.7;0.67;2.7;3.28
9.1;0.795;2.6;3.35
7.7;0.665;2.4;3.27
13.5;0.53;4.8;3.18
6.1;0.21;1.4;3.25
6.7;0.75;2.4;3.55
11.5;0.41;3;3.26
10.5;0.42;2.95;3.24
11.9;0.43;3.1;3.15
12.6;0.38;2.6;3.17
8.2;0.7;2;3.19
8.6;0.45;2.6;3.37
11.9;0.58;2.5;3.05
12.5;0.46;2;2.99
12.8;0.615;5.8;3.07
10;0.42;3.4;3.26
12.8;0.615;5.8;3.07
10.4;0.575;2.6;3.16
10.3;0.34;2.8;3.18
9.4;0.27;2.4;3.2
6.9;0.765;2.3;3.57
7.9;0.24;1.6;3.32
9.1;0.28;1.8;3.32
7.4;0.55;2.2;3.05
14;0.41;3.8;3.01
11.5;0.54;4.4;3.01
11.5;0.45;3;3.26
9.4;0.27;2.4;3.2
11.4;0.625;6.2;3.11
8.3;0.42;2.5;3.31
8.3;0.26;2;3.21
13.7;0.415;2.9;3.06
8.3;0.26;2;3.21
8.3;0.26;2;3.21
7.7;0.51;2.1;3.42
7.4;0.63;2.4;3.43
7.8;0.54;2;3.41
8.3;0.66;1.9;3.31
7.8;0.46;1.9;3.43
9.6;0.38;2.5;3.19
5.6;0.85;1.4;3.56
13.7;0.415;2.9;3.06
9.5;0.37;2;3.18
8.4;0.665;2;3.16
12.7;0.6;2.3;3.03
12;0.37;4.2;3.22
6.6;0.735;7.9;3.47
11.5;0.59;2.6;3.18
11.5;0.59;2.6;3.18
8.7;0.765;2.3;3.1
6.6;0.735;7.9;3.47
7.7;0.26;1.7;3.29
12.2;0.48;2.6;3.1
11.4;0.6;2.7;3.15
7.7;0.69;2.7;3.26
8.7;0.31;1.4;3.36
9.8;0.44;2.5;3.24
12;0.39;3;3.18
10.4;0.34;3.7;3.19
12.5;0.46;4.5;3.05
9;0.43;2.5;3.38
9.1;0.45;2.4;3.38
7.1;0.735;1.9;3.27
9.9;0.4;6.7;3.27
8.8;0.52;2.7;3.26
8.6;0.725;6.6;3.32
10.6;0.48;2.2;3.26
7;0.58;1.9;3.44
11.9;0.38;2;3.24
6.8;0.77;1.8;3.62
9.5;0.56;2.4;3.28
6.6;0.84;2.3;3.52
7.7;0.96;2;3.36
10.5;0.24;2.1;3.15
7.7;0.96;2;3.36
6.6;0.84;2.3;3.52
6.4;0.67;2.1;3.49
9.5;0.78;1.9;3.26
9.1;0.52;1.3;3.24
12.8;0.84;2.4;3.1
10.5;0.24;2.1;3.15
7.8;0.55;2.2;3.25
11.9;0.37;2.3;3
12.3;0.39;2.3;3.16
10.4;0.41;3.2;3.15
12.3;0.39;2.3;3.16
8;0.67;2;3.26
11.1;0.45;3.2;3.17
10.4;0.41;3.2;3.15
7;0.62;1.5;3.08
12.6;0.31;2.2;2.88
11.9;0.4;2.15;3.06
15.6;0.685;3.7;2.95
10;0.44;2.7;3.23
5.3;0.57;1.7;3.57
9.5;0.735;2.1;3.23
12.5;0.38;2.6;3.1
9.3;0.48;2.1;3.22
8.6;0.53;2;3.2
11.9;0.39;2.8;3.1
11.9;0.39;2.8;3.1
8.4;0.37;1.8;3.06
6.8;0.56;1.7;3.44
10.4;0.33;2.8;3.26
7;0.23;1.6;3.5
11.3;0.62;5.2;3.22
8.9;0.59;2.3;3.37
9.2;0.63;2.7;3.28
10.4;0.33;2.8;3.26
11.6;0.58;2.2;3.25
9.2;0.43;2.3;3.35
8.3;0.615;2.6;3.26
11;0.26;2.55;3.18
8.1;0.66;2.2;3.08
11.5;0.315;2.1;2.98
10;0.29;2.9;3.48
10.3;0.5;2;3.16
8.8;0.46;2.6;3.32
11.4;0.36;2.1;3.17
8.7;0.82;1.2;3.2
13;0.32;2.6;3.05
9.6;0.54;2.4;3.2
12.5;0.37;2.6;3.15
9.9;0.35;2.1;3.26
10.5;0.28;1.7;3.2
9.6;0.68;2.2;3.14
9.3;0.27;2;3.28
10.4;0.24;1.8;3.18
9.6;0.68;2.2;3.14
9.4;0.685;2.7;3.19
10.6;0.28;15.5;3.12
9.4;0.3;2.8;3.15
10.6;0.36;2.2;3.04
10.6;0.36;2.2;3.04
10.6;0.44;4.1;3.06
10.2;0.67;1.9;3.17
10.2;0.67;1.9;3.17
10.2;0.645;1.8;3.17
11.6;0.32;2.8;3.32
9.3;0.39;2.6;3.34
9.3;0.775;2.8;3.31
9.2;0.41;2.5;3.34
8.9;0.4;2.6;3.32
8.7;0.69;3;3.48
6.5;0.39;8.3;3.44
10.7;0.35;2.6;3.15
7.8;0.52;1.9;3.43
7.2;0.34;2.5;3.32
10.7;0.35;2.6;3.15
8.7;0.69;3;3.48
7.8;0.52;1.9;3.43
10.4;0.44;6.55;3.17
10.4;0.44;6.55;3.17
10.5;0.26;1.9;3.18
10.5;0.24;1.8;3.21
10.2;0.49;2.9;3.16
10.4;0.24;1.8;3.25
11.2;0.67;2.3;3.17
10;0.59;2.2;3.18
13.3;0.29;2.8;3.04
12.4;0.42;4.6;3.02
10;0.59;2.2;3.18
10.7;0.4;2.1;3.03
10.5;0.51;2.4;3.09
10.5;0.51;2.4;3.09
8.5;0.655;6.1;3.31
12.5;0.6;4.3;3.25
10.4;0.61;2.1;3.16
10.9;0.21;2.8;3.22
7.3;0.365;2.5;3.36
9.8;0.25;2.7;3.42
7.6;0.41;2;3.48
8.2;0.39;2.3;3.38
9.3;0.4;2.5;3.22
9.2;0.43;2.4;3.23
10.4;0.64;2.8;3.24
7.3;0.365;2.5;3.36
7;0.38;2.5;3.39
8.2;0.42;2.6;3.34
9.9;0.63;2.4;3.09
9.1;0.22;2.1;3.41
11.9;0.38;2.7;3.16
11.9;0.38;2.7;3.16
10.3;0.27;2.1;3.22
10;0.48;2.7;3.28
9.1;0.22;2.1;3.41
9.9;0.63;2.4;3.09
8.1;0.825;2.1;3.37
12.9;0.35;5.8;3.2
11.2;0.5;5.15;3.22
9.2;0.59;3.3;3.26
9.5;0.46;6.3;3.21
9.3;0.715;2.1;3.12
11.2;0.66;2.5;3.06
14.3;0.31;1.8;2.86
9.1;0.47;2.6;3.08
7.5;0.55;2;3.45
10.6;0.31;2.5;3.26
12.4;0.35;2.6;3.12
9;0.53;1.9;3.27
6.8;0.51;2.1;3.33
9.4;0.43;2.8;3.19
9.5;0.46;2.7;3.12
5;1.04;1.6;3.74
15.5;0.645;4.2;2.92
15.5;0.645;4.2;2.92
10.9;0.53;4.6;3.07
15.6;0.645;4.2;2.92
10.9;0.53;4.6;3.07
13;0.47;4.3;3.3
12.7;0.6;2.8;3.14
9;0.44;2.4;3.23
9;0.54;2.9;3.08
7.6;0.29;2.7;3.31
13;0.47;4.3;3.3
12.7;0.6;2.8;3.14
8.7;0.7;2.5;3.32
8.7;0.7;2.5;3.32
9.8;0.5;2.6;3.31
6.2;0.36;2.2;3.57
11.5;0.35;3.3;3.32
6.2;0.36;2.2;3.57
10.2;0.24;2.4;3.14
10.5;0.59;2.1;3.3
10.6;0.34;3.2;3.19
12.3;0.27;3.1;3.2
9.9;0.5;2.3;3.34
8.8;0.44;2.8;3.3
8.8;0.47;2.9;3.29
10.6;0.31;2.2;3.14
12.3;0.5;2.2;3.19
12.3;0.5;2.2;3.19
11.7;0.49;2.2;3.19
12;0.28;1.9;2.98
11.8;0.33;3.4;3.3
7.6;0.51;2.4;3.47
11.1;0.31;2.7;3.12
7.3;0.73;1.9;3.26
5;0.42;2;3.72
10.2;0.29;2.6;3.05
9;0.45;2.6;3.35
6.6;0.39;1.7;3.12
9;0.45;2.6;3.35
9.9;0.49;3.5;3.29
7.9;0.72;2.6;3.4
8.9;0.595;7.9;3.27
12.4;0.4;2;3.04
11.9;0.58;1.9;3.09
8.5;0.585;2.1;3.2
12.7;0.59;2.3;3
8.2;0.915;2.1;3.26
13.2;0.46;2.2;3.1
7.7;0.835;2.6;3.3
13.2;0.46;2.2;3.1
8.3;0.58;2.9;3.17
8.3;0.6;2.6;3.31
9.4;0.41;4.6;3.34
8.8;0.48;3.3;3.31
10.1;0.65;5.1;3.32
6.3;0.36;3.2;3.56
8.8;0.24;2.5;3.39
13.2;0.38;2.7;2.98
7.5;0.64;2.4;3.32
8.2;0.39;1.5;3.26
9.2;0.755;2.2;2.87
9.6;0.6;2.3;3.5
9.6;0.6;2.3;3.5
11.5;0.31;2.2;3.03
11.4;0.46;2.7;3.13
11.3;0.37;2.3;3.09
8.3;0.54;3.4;3.27
8.2;0.56;3.4;3.28
10;0.58;1.9;3.13
7.9;0.51;2.9;3.49
6.8;0.69;5.6;3.46
6.8;0.69;5.6;3.46
8.8;0.6;2.2;3.36
8.8;0.6;2.2;3.36
8.7;0.54;2.5;3.27
7.6;0.685;2.3;3.21
8.7;0.54;2.5;3.27
10.4;0.28;2.7;3.25
7.6;0.41;3;3.32
10.1;0.935;3.4;3.43
7.9;0.35;1.9;3.27
8.7;0.84;1.4;3.27
9.6;0.88;2.4;3.24
9.5;0.885;2.3;3.24
7.7;0.915;2.2;3.35
8.9;0.29;1.9;3.18
9.9;0.54;2.3;3.39
9.5;0.59;2.3;3.46
9.9;0.54;2.3;3.39
9.5;0.59;2.3;3.46
9.9;0.54;2.3;3.39
7.8;0.64;6;3.37
7.3;0.67;3.6;3.4
8.3;0.845;2.2;3.32
8.7;0.48;2.8;3.33
6.7;0.42;8.6;3.16
10.7;0.43;2.2;2.89
9.8;0.88;2.5;3.41
15.9;0.36;7.5;2.98
9.4;0.33;2.8;3.12
8.6;0.47;2.4;3.08
9.7;0.55;2.9;3.14
10.7;0.43;2.2;2.89
12;0.5;1.4;2.92
7.2;0.52;1.4;3.32
7.1;0.84;4.4;3.41
7.2;0.52;1.4;3.32
7.5;0.42;1.6;3.31
7.2;0.57;1.6;3.36
10.1;0.28;1.8;3.04
12.1;0.4;2;3.03
9.4;0.59;2;3.14
8.3;0.49;1.8;3.18
11.3;0.34;2;2.94
10;0.73;2.3;3.15
11.3;0.34;2;2.94
6.9;0.4;2.5;3.26
8.2;0.73;1.7;3.2
9.8;1.24;2;3.15
8.2;0.73;1.7;3.2
10.8;0.4;2.2;3.08
9.3;0.41;2.2;3.26
10.8;0.4;2.2;3.08
8.6;0.8;2.3;3.4
8.3;0.78;2.6;3.48
10.8;0.26;3.3;3.13
13.3;0.43;1.9;3.06
8;0.45;2.2;3.21
8.5;0.46;2.25;3.33
8.1;0.78;2.6;3.37
9.8;0.98;2.3;3.25
8.1;0.78;2.6;3.37
7.1;0.65;1.8;3.44
9.1;0.64;3.1;3.28
7.7;0.66;1.6;3.4
8.1;0.38;1.8;3.3
7.4;1.185;4.25;3.63
9.2;0.92;2.6;3.48
8.6;0.49;2;3.03
9;0.48;2.8;3.32
9;0.47;2.7;3.31
5.1;0.47;1.3;3.9
7;0.65;2.1;3.47
7;0.65;2.1;3.47
9.4;0.615;3.2;3.31
11.8;0.38;2.1;3.11
10.6;1.02;2.9;3.08
7;0.65;2.1;3.47
7;0.64;2.1;3.47
7.5;0.38;2.6;3.32
9.1;0.765;1.6;3.29
8.4;1.035;6;3.37
7;0.78;2;3.4
7.4;0.49;3;3.37
7.8;0.545;2.5;3.34
9.7;0.31;1.6;3.27
10.6;1.025;2.8;3.06
8.9;0.565;3;3.38
8.7;0.69;3.2;3.36
8;0.43;2.3;3.34
9.9;0.74;2.6;3.28
7.2;0.49;2.7;3.29
8;0.43;2.3;3.34
7.6;0.46;2.6;3.21
8.4;0.56;2;3.22
7.1;0.66;3.9;3.46
8.4;0.56;2;3.22
8.9;0.48;2.85;3.1
7.6;0.42;2.7;3.21
7.1;0.31;2.2;2.94
7.5;1.115;3.1;3.54
9;0.66;3;3.29
8.1;0.72;2.8;3.43
6.4;0.57;1.8;3.46
6.4;0.57;1.8;3.46
6.4;0.865;3.2;3.61
9.5;0.55;2.3;3.17
8.9;0.875;3.45;3.44
7.3;0.835;2.1;3.39
7;0.45;2.7;3.55
7.7;0.56;2;3.48
7.7;0.965;2.1;3.26
7.7;0.965;2.1;3.26
8.2;0.59;2.5;3.5
9;0.46;2.8;3.1
9;0.69;2.4;3.35
8.3;0.76;4.2;3.45
9.2;0.53;2.6;3.21
6.5;0.615;1.9;3.46
11.6;0.41;2.8;3.13
11.1;0.39;2.7;3.13
7.3;0.51;2.1;3.52
8.2;0.34;2.5;3.3
8.6;0.33;2.6;3.3
7.2;0.5;2.1;3.52
7.3;0.51;2.1;3.52
8.3;0.65;2.9;3.29
8.3;0.65;2.9;3.29
7.6;0.54;2.5;3.39
8.3;0.65;2.9;3.29
7.8;0.48;1.7;3.09
7.8;0.91;1.9;3.51
6.3;0.98;2;3.6
8.1;0.87;2.2;3.25
8.1;0.87;2.2;3.25
8.8;0.42;2.5;3.19
9;0.58;2.8;3.23
9.3;0.655;2;3.25
8.8;0.7;1.7;3.31
9.3;0.655;2;3.25
9.1;0.68;2.8;3.31
9.2;0.67;3;3.31
8.8;0.59;2.9;3.14
7.5;0.6;2.7;3.45
7.1;0.59;2.3;3.55
7.9;0.72;1.9;3.39
7.1;0.59;2.3;3.55
9.4;0.685;2.4;3.28
9.5;0.57;2.3;3.27
7.9;0.4;1.8;3.3
7.9;0.4;1.8;3.31
7.2;1;3;3.43
6.9;0.765;2.4;3.4
6.9;0.635;2.4;3.4
8.3;0.43;3.4;3.36
7.1;0.52;2.6;3.5
7;0.57;2;3.31
6.5;0.46;2.4;3.66
9;0.82;2.4;3.36
6.5;0.46;2.4;3.66
7.1;0.59;2.5;3.55
9.9;0.35;2.3;3.21
9.9;0.35;2.3;3.21
10;0.56;2.2;3.18
10;0.56;2.2;3.18
8.6;0.63;2.9;3.09
7.4;0.37;2.6;3.33
8.8;0.64;2.9;3.23
7.1;0.61;2.5;3.48
7.7;0.6;2.6;3.38
10.1;0.27;2.3;3.17
10.8;0.89;2.6;2.99
8.7;0.46;2.5;3.1
9.3;0.37;1.6;3.24
9.4;0.5;3.6;3.29
9.4;0.5;3.6;3.29
7.2;0.61;4;3.25
8.6;0.55;3.3;3.23
5.1;0.585;1.7;3.56
7.7;0.56;2.5;3.24
8.4;0.52;2.7;3.26
8.2;0.28;2.4;3.33
8.4;0.25;2;3.27
8.2;0.28;2.4;3.33
7.4;0.53;1.9;3.26
7.6;0.48;2.8;3.22
7.3;0.49;2.6;3.3
12.9;0.5;2.8;3.09
10.8;0.45;2.5;3.24
6.9;0.39;2.1;3.44
12.6;0.41;2.8;3.21
10.8;0.45;2.5;3.24
9.8;0.51;3.2;3.23
10.8;0.29;1.6;3.28
7.1;0.715;2.35;3.29
9.1;0.66;3.2;3.28
7;0.685;1.9;3.34
4.9;0.42;2.1;3.71
6.7;0.54;2;3.61
6.7;0.54;2;3.61
7.1;0.48;2.8;3.24
7.1;0.46;2.8;3.36
7.5;0.27;2.3;3.4
7.1;0.46;2.8;3.36
7.8;0.57;2.3;3.46
5.9;0.61;2.1;3.56
7.5;0.685;2.5;3.38
5.9;0.61;2.1;3.56
10.4;0.44;1.5;3.38
11.6;0.47;1.6;3.38
8.8;0.685;1.6;3.32
7.6;0.665;1.5;3.39
6.7;0.28;2.4;3.26
6.7;0.28;2.4;3.26
10.1;0.31;1.6;3.24
6;0.5;2.2;3.46
11.1;0.42;2.65;3.24
6.6;0.66;3;3.45
10.6;0.5;2.6;3.23
7.1;0.685;2;3.28
9.9;0.25;1.7;3.18
6.4;0.64;1.8;3.59
6.4;0.64;1.8;3.59
7.4;0.68;1.8;3.5
6.4;0.64;1.8;3.59
6.4;0.63;1.6;3.58
9.3;0.43;1.9;3.28
9.3;0.43;1.9;3.28
8;0.42;2.5;3.22
9.3;0.36;1.5;3.47
9.3;0.36;1.5;3.47
7.6;0.735;2.5;3.51
9.3;0.36;1.5;3.47
8.2;0.26;2.5;3.4
11.7;0.28;1.7;3.15
6.8;0.56;1.8;3.4
7.2;0.62;2.7;3.51
5.8;1.01;2;3.66
7.5;0.42;2.7;3.24
7.2;0.62;2.5;3.51
7.2;0.62;2.7;3.51
7.2;0.635;2.6;3.51
6.8;0.49;2.3;3.41
6.9;0.51;2;3.4
6.8;0.56;1.8;3.4
7.6;0.63;2;3.44
7.7;0.715;2.1;3.41
6.9;0.56;1.5;3.53
7.3;0.35;2;3.43
9.1;0.21;1.6;3.23
10.4;0.38;2.1;3.12
8.8;0.31;2.8;3.31
7.1;0.47;2.2;3.4
7.7;0.715;2.1;3.41
8.8;0.61;4;3.22
7.2;0.6;2.5;3.53
9.2;0.56;1.6;3.15
7.6;0.715;2.1;3.48
8.4;0.31;3.1;3.22
7.2;0.6;2.5;3.53
8.8;0.61;4;3.22
8.9;0.75;2.5;3.34
9;0.8;2.4;3.33
10.7;0.52;2.6;3.15
6.8;0.57;2.5;3.43
10.7;0.9;6.6;3.22
7.2;0.34;2;3.44
7.2;0.66;2.3;3.53
10.1;0.45;1.9;3.22
7.2;0.66;2.3;3.53
7.2;0.63;2.2;3.53
7.1;0.59;2.3;3.42
8.3;0.31;2.4;3.31
7.1;0.59;2.3;3.42
