tree        days        size        treat
N2T10        556        347.23        normal
N2T10        579        314.19        normal
N2T10        613        399.41        normal
N2T10        639        445.86        normal
N2T10        674        468.72        normal
N2T11        152        30.27        normal
N2T11        174        39.65        normal
N2T11        201        56.26        normal
N2T11        227        72.24        normal
N2T11        258        93.69        normal
N2T11        469        91.84        normal
N2T11        496        96.54        normal
N2T11        528        149.9        normal
N2T11        556        169.02        normal
N2T11        579        165.67        normal
N2T11        613        200.34        normal
N2T11        639        235.1        normal
N2T11        674        210.61        normal
N2T12        152        90.02        normal
N2T12        174        121.51        normal
N2T12        201        196.37        normal
N2T12        227        340.36        normal
N2T12        258        473.43        normal
N2T12        469        561.16        normal
N2T12        496        566.8        normal
N2T12        528        706.27        normal
N2T12        556        757.48        normal
N2T12        579        854.06        normal
N2T12        613        982.4        normal
N2T12        639        1053.63        normal
N2T12        674        1032.77        normal
N2T13        152        19.89        normal
N2T13        174        36.97        normal
N2T13        201        88.23        normal
N2T13        227        135.64        normal
N2T13        258        157.59        normal
N2T13        469        186.79        normal
N2T13        496        190.57        normal
N2T13        528        259.82        normal
N2T13        556        383.75        normal
N2T13        579        395.44        normal
N2T13        613        497.7        normal
N2T13        639        533.79        normal
N2T13        674        566.8        normal
O1T01        152        90.92        ozone-enriched
O1T01        174        145.47        ozone-enriched
O1T01        201        223.63        ozone-enriched
O1T01        227        365.04        ozone-enriched
O1T01        258        468.72        ozone-enriched
O1T01        469        473.43        ozone-enriched
O1T01        496        482.99        ozone-enriched
O1T01        528        651.97        ozone-enriched
O1T01        556        772.78        ozone-enriched
O1T01        579        962.95        ozone-enriched
O1T01        613        1043.15        ozone-enriched
O1T01        639        1085.72        ozone-enriched
O1T01        674        1141.39        ozone-enriched
O1T02        152        69.41        ozone-enriched
O1T02        174        66.69        ozone-enriched
O1T02        201        107.77        ozone-enriched
O1T02        227        137        ozone-enriched
O1T02        258        142.59        ozone-enriched
O1T02        469        181.27        ozone-enriched
O1T02        496        184.93        ozone-enriched
O1T02        528        219.2        ozone-enriched
O1T02        556        284.29        ozone-enriched
O1T02        579        301.87        ozone-enriched
O1T02        613        323.76        ozone-enriched
O1T02        639        336.97        ozone-enriched
O1T02        674        347.23        ozone-enriched
O1T03        152        53.52        ozone-enriched
O1T03        174        78.26        ozone-enriched
O1T03        201        120.3        ozone-enriched
O1T03        227        146.94        ozone-enriched
O1T03        258        152.93        ozone-enriched
O1T03        469        354.25        ozone-enriched
O1T03        496        357.81        ozone-enriched
O1T03        528        419.89        ozone-enriched
O1T03        556        566.8        ozone-enriched
O1T03        579        658.52        ozone-enriched
O1T03        613        720.54        ozone-enriched
O1T03        639        772.78        ozone-enriched
O1T03        674        742.48        ozone-enriched
O1T04        152        78.26        ozone-enriched
O1T04        174        117.92        ozone-enriched
O1T04        201        164.02        ozone-enriched
O1T04        227        200.34        ozone-enriched
O1T04        258        212.72        ozone-enriched
O1T04        469        252.14        ozone-enriched
O1T04        496        259.82        ozone-enriched
O1T04        528        292.95        ozone-enriched
O1T04        556        376.15        ozone-enriched
O1T04        579        497.7        ozone-enriched
O1T04        613        523.22        ozone-enriched
O1T04        639        492.75        ozone-enriched
O1T04        674        487.85        ozone-enriched
O1T05        152        76.71        ozone-enriched
O1T05        174        141.17        ozone-enriched
O1T05        201        225.88        ozone-enriched
O1T05        227        391.51        ozone-enriched
O1T05        258        533.79        ozone-enriched
O1T05        469        665.14        ozone-enriched
O1T05        496        665.14        ozone-enriched
O1T05        528        888.91        ozone-enriched
O1T05        556        925.19        ozone-enriched
O1T05        579        1211.97        ozone-enriched
O1T05        613        1299.84        ozone-enriched
O1T05        639        1352.89        ozone-enriched
O1T05        674        1286.91        ozone-enriched
O1T06        152        98.49        ozone-enriched
O1T06        174        160.77        ozone-enriched
O1T06        201        212.72        ozone-enriched
O1T06        227        317.35        ozone-enriched
O1T06        258        403.43        ozone-enriched
O1T06        469        561.16        ozone-enriched
O1T06        496        566.8        ozone-enriched
O1T06        528        595.86        ozone-enriched
O1T06        556        880.07        ozone-enriched
O1T06        579        1002.25        ozone-enriched
O1T06        613        1085.72        ozone-enriched
O1T06        639        1107.65        ozone-enriched
O1T06        674        1152.86        ozone-enriched
O1T07        152        82.27        ozone-enriched
O1T07        174        95.58        ozone-enriched
O1T07        201        141.17        ozone-enriched
O1T07        227        186.79        ozone-enriched
O1T07        258        206.44        ozone-enriched
O1T07        469        459.44        ozone-enriched
O1T07        496        464.05        ozone-enriched
O1T07        528        578.25        ozone-enriched
O1T07        556        713.37        ozone-enriched
O1T07        579        880.07        ozone-enriched
O1T07        613        915.99        ozone-enriched
O1T07        639        906.87        ozone-enriched
O1T07        674        953.37        ozone-enriched
O1T08        152        69.41        ozone-enriched
O1T08        174        103.54        ozone-enriched
O1T08        201        141.17        ozone-enriched
O1T08        227        217.02        ozone-enriched
O1T08        258        239.85        ozone-enriched
O1T08        469        273.14        ozone-enriched
O1T08        496        278.66        ozone-enriched
O1T08        528        336.97        ozone-enriched
O1T08        556        482.99        ozone-enriched
O1T08        579        614        ozone-enriched
O1T08        613        651.97        ozone-enriched
O1T08        639        645.48        ozone-enriched
O1T08        674        639.06        ozone-enriched
O1T09        152        123.97        ozone-enriched
O1T09        174        175.91        ozone-enriched
O1T09        201        317.35        ozone-enriched
O1T09        227        454.86        ozone-enriched
O1T09        258        512.86        ozone-enriched
O1T09        469        651.97        ozone-enriched
O1T09        496        665.14        ozone-enriched
O1T09        528        871.31        ozone-enriched
O1T09        556        1261.43        ozone-enriched
O1T09        579        1422.26        ozone-enriched
O1T09        613        1480.3        ozone-enriched
O1T09        639        1002.25        ozone-enriched
O1T09        674        1450.99        ozone-enriched
O1T10        152        46.53        ozone-enriched
O1T10        174        64.72        ozone-enriched
O1T10        201        106.7        ozone-enriched
O1T10        227        106.7        ozone-enriched
O1T10        258        121.51        ozone-enriched
O1T10        469        139.77        ozone-enriched
O1T10        496        139.77        ozone-enriched
O1T10        528        156.02        ozone-enriched
O1T10        556        206.44        ozone-enriched
O1T10        579        252.14        ozone-enriched
O1T10        613        259.82        ozone-enriched
O1T10        639        262.43        ozone-enriched
O1T10        674        270.43        ozone-enriched
O1T11        152        58.56        ozone-enriched
O1T11        174        74.44        ozone-enriched
O1T11        201        134.29        ozone-enriched
O1T11        227        164.02        ozone-enriched
O1T11        258        164.02        ozone-enriched
O1T11        469        192.48        ozone-enriched
O1T11        496        192.48        ozone-enriched
O1T11        528        217.02        ozone-enriched
O1T11        556        287.15        ozone-enriched
O1T11        579        333.62        ozone-enriched
O1T11        613        343.78        ozone-enriched
O1T11        639        376.15        ozone-enriched
O1T11        674        361.41        ozone-enriched
O1T12        152        72.24        ozone-enriched
O1T12        174        121.51        ozone-enriched
O1T12        201        194.42        ozone-enriched
O1T12        227        257.24        ozone-enriched
O1T12        258        284.29        ozone-enriched
O1T12        469        317.35        ozone-enriched
O1T12        496        320.54        ozone-enriched
O1T12        528        395.44        ozone-enriched
O1T12        556        482.99        ozone-enriched
O1T12        579        595.86        ozone-enriched
O1T12        613        620.17        ozone-enriched
O1T12        639        626.41        ozone-enriched
O1T12        674        607.89        ozone-enriched
O1T13        152        87.36        ozone-enriched
O1T13        174        132.95        ozone-enriched
O1T13        201        186.79        ozone-enriched
O1T13        227        257.24        ozone-enriched
O1T13        258        311.06        ozone-enriched
O1T13        469        399.41        ozone-enriched
O1T13        496        407.48        ozone-enriched
O1T13        528        437.03        ozone-enriched
O1T13        556        595.86        ozone-enriched
O1T13        579        632.7        ozone-enriched
O1T13        613        713.37        ozone-enriched
O1T13        639        713.37        ozone-enriched
O1T13        674        720.54        ozone-enriched
O1T14        152        86.49        ozone-enriched
O1T14        174        126.47        ozone-enriched
O1T14        201        165.67        ozone-enriched
O1T14        227        208.51        ozone-enriched
O1T14        258        235.1        ozone-enriched
O1T14        469        237.46        ozone-enriched
O1T14        496        242.26        ozone-enriched
O1T14        528        298.87        ozone-enriched
O1T14        556        376.15        ozone-enriched
O1T14        579        428.38        ozone-enriched
O1T14        613        468.72        ozone-enriched
O1T14        639        454.86        ozone-enriched
O1T14        674        454.86        ozone-enriched
O1T15        152        99.48        ozone-enriched
O1T15        174        59.15        ozone-enriched
O1T15        201        64.72        ozone-enriched
O1T15        227        77.48        ozone-enriched
O1T15        258        98.49        ozone-enriched
O1T15        469        104.58        ozone-enriched
O1T15        496        108.85        ozone-enriched
O1T15        528        149.9        ozone-enriched
O1T15        556        183.09        ozone-enriched
O1T15        579        217.02        ozone-enriched
O1T15        613        265.07        ozone-enriched
O1T15        639        235.1        ozone-enriched
O1T15        674        244.69        ozone-enriched
O1T16        152        41.68        ozone-enriched
O1T16        174        63.43        ozone-enriched
O1T16        201        100.48        ozone-enriched
O1T16        227        130.32        ozone-enriched
O1T16        258        138.38        ozone-enriched
O1T16        469        188.67        ozone-enriched
O1T16        496        190.57        ozone-enriched
O1T16        528        190.57        ozone-enriched
O1T16        556        232.76        ozone-enriched
O1T16        579        284.29        ozone-enriched
O1T16        613        284.29        ozone-enriched
O1T16        639        317.35        ozone-enriched
O1T16        674        340.36        ozone-enriched
O1T17        152        106.7        ozone-enriched
O1T17        174        131.63        ozone-enriched
O1T17        201        177.68        ozone-enriched
O1T17        227        208.51        ozone-enriched
O1T17        258        242.26        ozone-enriched
O1T17        469        626.41        ozone-enriched
O1T17        496        626.41        ozone-enriched
O1T17        528        742.48        ozone-enriched
O1T17        556        845.56        ozone-enriched
O1T17        579        1164.45        ozone-enriched
O1T17        613        1224.15        ozone-enriched
O1T17        639        1141.39        ozone-enriched
O1T17        674        1224.15        ozone-enriched
O1T18        152        19.3        ozone-enriched
O1T18        174        32.14        ozone-enriched
O1T18        201        42.95        ozone-enriched
O1T18        227        48.91        ozone-enriched
O1T18        258        73.7        ozone-enriched
O1T18        469        63.43        ozone-enriched
O1T18        496        63.43        ozone-enriched
O1T18        528        82.27        ozone-enriched
O1T18        556        112.17        ozone-enriched
O1T18        579        116.75        ozone-enriched
O1T18        613        138.38        ozone-enriched
O1T18        639        145.47        ozone-enriched
O1T18        674        159.17        ozone-enriched
O1T19        152        25.53        ozone-enriched
O1T19        174        50.91        ozone-enriched
O1T19        201        116.75        ozone-enriched
O1T19        227        101.49        ozone-enriched
O1T19        258        103.54        ozone-enriched
O1T19        469        102.51        ozone-enriched
O1T19        496        103.54        ozone-enriched
O1T19        528        117.92        ozone-enriched
O1T19        556        160.77        ozone-enriched
O1T19        579        194.42        ozone-enriched
O1T19        613        200.34        ozone-enriched
O1T19        639        228.15        ozone-enriched
O1T19        674        181.27        ozone-enriched
O1T20        152        78.26        ozone-enriched
O1T20        174        117.92        ozone-enriched
O1T20        201        151.41        ozone-enriched
O1T20        227        192.48        ozone-enriched
O1T20        258        232.76        ozone-enriched
O1T20        469        230.44        ozone-enriched
O1T20        496        230.44        ozone-enriched
O1T20        528        242.26        ozone-enriched
O1T20        556        307.97        ozone-enriched
O1T20        579        320.54        ozone-enriched
O1T20        613        407.48        ozone-enriched
O1T20        639        387.61        ozone-enriched
O1T20        674        387.61        ozone-enriched
O1T21        152        56.83        ozone-enriched
O1T21        174        103.54        ozone-enriched
O1T21        201        129.02        ozone-enriched
O1T21        227        162.39        ozone-enriched
O1T21        258        190.57        ozone-enriched
O1T21        469        190.57        ozone-enriched
O1T21        496        194.42        ozone-enriched
O1T21        528        244.69        ozone-enriched
O1T21        556        284.29        ozone-enriched
O1T21        579        295.89        ozone-enriched
O1T21        613        391.51        ozone-enriched
O1T21        639        391.51        ozone-enriched
O1T21        674        361.41        ozone-enriched
O1T22        152        34.12        ozone-enriched
O1T22        174        70.11        ozone-enriched
O1T22        201        107.77        ozone-enriched
O1T22        227        144.03        ozone-enriched
O1T22        258        177.68        ozone-enriched
O1T22        469        281.46        ozone-enriched
O1T22        496        281.46        ozone-enriched
O1T22        528        252.14        ozone-enriched
O1T22        556        311.06        ozone-enriched
O1T22        579        323.76        ozone-enriched
O1T22        613        379.93        ozone-enriched
O1T22        639        482.99        ozone-enriched
O1T22        674        399.41        ozone-enriched
O1T23        152        68.03        ozone-enriched
O1T23        174        108.85        ozone-enriched
O1T23        201        159.17        ozone-enriched
O1T23        227        214.86        ozone-enriched
O1T23        258        265.07        ozone-enriched
O1T23        469        317.35        ozone-enriched
O1T23        496        330.3        ozone-enriched
O1T23        528        450.34        ozone-enriched
O1T23        556        584.06        ozone-enriched
O1T23        579        572.49        ozone-enriched
O1T23        613        720.54        ozone-enriched
O1T23        639        699.24        ozone-enriched
O1T23        674        699.24        ozone-enriched
O1T24        152        16.28        ozone-enriched
O1T24        174        22.2        ozone-enriched
O1T24        201        27.11        ozone-enriched
O1T24        227        29.37        ozone-enriched
O1T24        258        34.81        ozone-enriched
O1T24        469        36.97        ozone-enriched
O1T24        496        38.47        ozone-enriched
O1T24        528        50.91        ozone-enriched
O1T24        556        65.37        ozone-enriched
O1T24        579        62.18        ozone-enriched
O1T24        613        78.26        ozone-enriched
O1T24        639        83.93        ozone-enriched
O1T24        674        80.64        ozone-enriched
O1T25        152        27.11        ozone-enriched
O1T25        174        49.4        ozone-enriched
O1T25        201        76.71        ozone-enriched
O1T25        227        142.59        ozone-enriched
O1T25        258        221.41        ozone-enriched
O1T25        469        235.1        ozone-enriched
O1T25        496        242.26        ozone-enriched
O1T25        528        320.54        ozone-enriched
O1T25        556        415.72        ozone-enriched
O1T25        579        432.68        ozone-enriched
O1T25        613        492.75        ozone-enriched
O1T25        639        523.22        ozone-enriched
O1T25        674        533.79        ozone-enriched
O1T26        152        28.22        ozone-enriched
O1T26        174        45.15        ozone-enriched
O1T26        201        67.36        ozone-enriched
O1T26        227        93.69        ozone-enriched
O1T26        258        129.02        ozone-enriched
O1T26        469        138.38        ozone-enriched
O1T26        496        142.59        ozone-enriched
O1T26        528        172.43        ozone-enriched
O1T26        556        239.85        ozone-enriched
O1T26        579        242.26        ozone-enriched
O1T26        613        298.87        ozone-enriched
O1T26        639        311.06        ozone-enriched
O1T26        674        311.06        ozone-enriched
O1T27        152        42.95        ozone-enriched
O1T27        174        78.26        ozone-enriched
O1T27        201        109.95        ozone-enriched
O1T27        227        230.44        ozone-enriched
O1T27        258        204.38        ozone-enriched
O1T27        469        284.29        ozone-enriched
O1T27        496        290.03        ozone-enriched
O1T27        528        278.66        ozone-enriched
O1T27        556        419.89        ozone-enriched
O1T27        579        411.58        ozone-enriched
O1T27        613        424.11        ozone-enriched
O1T27        639        415.72        ozone-enriched
O1T27        674        368.71        ozone-enriched
O2T01        152        89.12        ozone-enriched
O2T01        174        116.75        ozone-enriched
O2T01        201        172.43        ozone-enriched
O2T01        227        214.86        ozone-enriched
O2T01        258        259.82        ozone-enriched
O2T01        469        307.97        ozone-enriched
O2T01        496        307.97        ozone-enriched
O2T01        528        330.3        ozone-enriched
O2T01        556        391.51        ozone-enriched
O2T01        579        445.86        ozone-enriched
O2T01        613        473.43        ozone-enriched
O2T01        639        502.7        ozone-enriched
O2T01        674        459.44        ozone-enriched
O2T02        152        131.63        ozone-enriched
O2T02        174        170.72        ozone-enriched
O2T02        201        249.64        ozone-enriched
O2T02        227        437.03        ozone-enriched
O2T02        258        478.19        ozone-enriched
O2T02        469        555.57        ozone-enriched
O2T02        496        561.16        ozone-enriched
O2T02        528        584.06        ozone-enriched
O2T02        556        796.32        ozone-enriched
O2T02        579        925.19        ozone-enriched
O2T02        613        1032.77        ozone-enriched
O2T02        639        1022.49        ozone-enriched
O2T02        674        1043.15        ozone-enriched
O2T03        152        131.63        ozone-enriched
O2T03        174        204.38        ozone-enriched
O2T03        201        278.66        ozone-enriched
O2T03        227        314.19        ozone-enriched
O2T03        258        379.93        ozone-enriched
O2T03        469        441.42        ozone-enriched
O2T03        496        441.42        ozone-enriched
O2T03        528        464.05        ozone-enriched
O2T03        556        671.83        ozone-enriched
O2T03        579        742.48        ozone-enriched
O2T03        613        796.32        ozone-enriched
O2T03        639        765.09        ozone-enriched
O2T03        674        845.56        ozone-enriched
O2T04        152        44.7        ozone-enriched
O2T04        174        64.07        ozone-enriched
O2T04        201        85.63        ozone-enriched
O2T04        227        132.95        ozone-enriched
O2T04        258        156.02        ozone-enriched
O2T04        469        157.59        ozone-enriched
O2T04        496        157.59        ozone-enriched
O2T04        528        169.02        ozone-enriched
O2T04        556        204.38        ozone-enriched
O2T04        579        235.1        ozone-enriched
O2T04        613        235.1        ozone-enriched
O2T04        639        225.88        ozone-enriched
O2T04        674        242.26        ozone-enriched
O2T05        152        86.49        ozone-enriched
O2T05        174        101.49        ozone-enriched
O2T05        201        148.41        ozone-enriched
O2T05        227        221.41        ozone-enriched
O2T05        258        242.26        ozone-enriched
O2T05        469        292.95        ozone-enriched
O2T05        496        304.9        ozone-enriched
O2T05        528        383.75        ozone-enriched
O2T05        556        459.44        ozone-enriched
O2T05        579        555.57        ozone-enriched
O2T05        613        561.16        ozone-enriched
O2T05        639        561.16        ozone-enriched
O2T05        674        544.57        ozone-enriched
O2T06        152        72.97        ozone-enriched
O2T06        174        123.97        ozone-enriched
O2T06        201        204.38        ozone-enriched
O2T06        227        235.1        ozone-enriched
O2T06        258        244.69        ozone-enriched
O2T06        469        254.68        ozone-enriched
O2T06        496        254.68        ozone-enriched
O2T06        528        254.68        ozone-enriched
O2T06        556        270.43        ozone-enriched
O2T06        579        262.43        ozone-enriched
O2T06        613        257.24        ozone-enriched
O2T06        639        257.24        ozone-enriched
O2T06        674        257.24        ozone-enriched
O2T07        152        57.97        ozone-enriched
O2T07        174        97.51        ozone-enriched
O2T07        201        122.73        ozone-enriched
O2T07        227        167.34        ozone-enriched
O2T07        258        194.42        ozone-enriched
O2T07        469        239.85        ozone-enriched
O2T07        496        247.15        ozone-enriched
O2T07        528        265.07        ozone-enriched
O2T07        556        376.15        ozone-enriched
O2T07        579        578.25        ozone-enriched
O2T07        613        478.19        ozone-enriched
O2T07        639        432.68        ozone-enriched
O2T07        674        459.44        ozone-enriched
O2T08        152        174.16        ozone-enriched
O2T08        174        228.15        ozone-enriched
O2T08        201        301.87        ozone-enriched
O2T08        227        437.03        ozone-enriched
O2T08        258        497.7        ozone-enriched
O2T08        469        584.06        ozone-enriched
O2T08        496        589.93        ozone-enriched
O2T08        528        607.89        ozone-enriched
O2T08        556        765.09        ozone-enriched
O2T08        579        915.99        ozone-enriched
O2T08        613        982.4        ozone-enriched
O2T08        639        1224.15        ozone-enriched
O2T08        674        1261.43        ozone-enriched
O2T09        152        45.15        ozone-enriched
O2T09        174        61.56        ozone-enriched
O2T09        201        83.1        ozone-enriched
O2T09        227        101.49        ozone-enriched
O2T09        258        99.48        ozone-enriched
O2T09        469        114.43        ozone-enriched
O2T09        496        116.75        ozone-enriched
O2T09        528        139.77        ozone-enriched
O2T09        556        164.02        ozone-enriched
O2T09        579        183.09        ozone-enriched
O2T09        613        186.79        ozone-enriched
O2T09        639        184.93        ozone-enriched
O2T09        674        186.79        ozone-enriched
O2T10        152        162.39        ozone-enriched
O2T10        174        275.89        ozone-enriched
O2T10        201        365.04        ozone-enriched
O2T10        227        578.25        ozone-enriched
O2T10        258        658.52        ozone-enriched
O2T10        469        828.82        ozone-enriched
O2T10        496        828.82        ozone-enriched
O2T10        528        845.56        ozone-enriched
O2T10        556        962.95        ozone-enriched
O2T10        579        962.95        ozone-enriched
O2T10        613        962.95        ozone-enriched
O2T10        639        925.19        ozone-enriched
O2T10        674        1064.22        ozone-enriched
O2T11        152        62.18        ozone-enriched
O2T11        174        111.05        ozone-enriched
O2T11        201        194.42        ozone-enriched
O2T11        227        259.82        ozone-enriched
O2T11        258        304.9        ozone-enriched
O2T11        469        428.38        ozone-enriched
O2T11        496        428.38        ozone-enriched
O2T11        528        497.7        ozone-enriched
O2T11        556        626.41        ozone-enriched
O2T11        579        780.55        ozone-enriched
O2T11        613        820.57        ozone-enriched
O2T11        639        772.78        ozone-enriched
O2T11        674        765.09        ozone-enriched
